instance;tmps_max;nombre_clients;nombre_tournees;profit_total;temps_execution
Set_33_234/p3.3.d;10.0;33;3;100.0;0.0148
Set_33_234/p3.3.e;11.7;33;3;100.0;0.0182
Set_33_234/p3.3.f;13.3;33;3;100.0;0.0295
Set_33_234/p3.3.g;15.0;33;3;100.0;0.0294
Set_33_234/p3.3.h;16.7;33;3;130.0;0.0371
Set_33_234/p3.3.i;18.3;33;3;130.0;0.0486
Set_33_234/p3.3.j;20.0;33;3;130.0;0.0562
Set_33_234/p3.3.k;21.7;33;3;140.0;0.0675
Set_33_234/p3.3.l;23.3;33;3;140.0;0.0671
Set_33_234/p3.3.m;25.0;33;3;140.0;0.0722
Set_33_234/p3.3.n;26.7;33;3;140.0;0.0753
Set_33_234/p3.3.o;28.3;33;3;140.0;0.0785
Set_33_234/p3.3.p;30.0;33;3;140.0;0.0763
Set_33_234/p3.3.q;31.7;33;3;140.0;0.0788
Set_33_234/p3.3.r;33.3;33;3;140.0;0.087
Set_33_234/p3.4.a;3.8;33;4;20.0;0.002
Set_33_234/p3.4.b;5.0;33;4;30.0;0.002
Set_33_234/p3.4.c;6.2;33;4;80.0;0.0032
Set_33_234/p3.4.d;7.5;33;4;80.0;0.004
Set_33_234/p3.4.e;8.8;33;4;110.0;0.0081
Set_33_234/p3.4.f;10.0;33;4;120.0;0.0131
Set_33_234/p3.4.g;11.2;33;4;120.0;0.0162
Set_33_234/p3.4.h;12.5;33;4;120.0;0.0256
Set_33_234/p3.4.i;13.8;33;4;120.0;0.0295
Set_33_234/p3.4.j;15.0;33;4;120.0;0.0294
Set_33_234/p3.4.k;16.2;33;4;150.0;0.033
Set_33_234/p3.4.l;17.5;33;4;160.0;0.0449
Set_33_234/p3.4.m;18.8;33;4;160.0;0.0543
Set_33_234/p3.4.n;20.0;33;4;160.0;0.0566
Set_33_234/p3.4.o;21.2;33;4;170.0;0.0635
Set_33_234/p3.4.p;22.5;33;4;180.0;0.0677
Set_33_234/p3.4.q;23.8;33;4;180.0;0.0697
Set_33_234/p3.4.r;25.0;33;4;180.0;0.0726
Set_100_234/p4.2.a;25.0;100;2;53.0;0.1053
Set_100_234/p4.2.b;30.0;100;2;55.0;0.359
Set_100_234/p4.2.c;35.0;100;2;55.0;0.7112
Set_100_234/p4.2.d;40.0;100;2;55.0;1.0476
Set_100_234/p4.2.e;45.0;100;2;57.0;1.2677
Set_100_234/p4.2.f;50.0;100;2;57.0;1.2969
Set_100_234/p4.2.g;55.0;100;2;57.0;1.3384
Set_100_234/p4.2.h;60.0;100;2;57.0;1.3315
Set_100_234/p4.2.i;65.0;100;2;57.0;1.3031
Set_100_234/p4.2.j;70.0;100;2;57.0;1.324
Set_100_234/p4.2.k;75.0;100;2;57.0;1.3317
Set_100_234/p4.2.l;80.0;100;2;57.0;1.3139
Set_100_234/p4.2.m;85.0;100;2;57.0;1.3198
Set_100_234/p4.2.n;90.0;100;2;57.0;1.3181
Set_100_234/p4.2.o;95.0;100;2;57.0;1.2996
Set_100_234/p4.2.p;100.0;100;2;57.0;1.336
Set_100_234/p4.2.q;105.0;100;2;57.0;1.3211
Set_100_234/p4.2.r;110.0;100;2;57.0;1.309
Set_100_234/p4.3.b;20.0;100;3;38.0;0.004
Set_100_234/p4.3.c;23.3;100;3;76.0;0.0441
Set_100_234/p4.3.d;26.7;100;3;81.0;0.2133
Set_100_234/p4.3.e;30.0;100;3;82.0;0.3467
Set_100_234/p4.3.f;33.3;100;3;82.0;0.6152
Set_100_234/p4.3.g;36.7;100;3;82.0;0.8352
Set_100_234/p4.3.h;40.0;100;3;82.0;1.0984
Set_100_234/p4.3.i;43.3;100;3;83.0;1.197
Set_100_234/p4.3.j;46.7;100;3;85.0;1.3094
Set_100_234/p4.3.k;50.0;100;3;85.0;1.2978
Set_100_234/p4.3.l;53.3;100;3;85.0;1.3304
Set_100_234/p4.3.m;56.7;100;3;85.0;1.3336
Set_100_234/p4.3.n;60.0;100;3;85.0;1.297
Set_100_234/p4.3.o;63.3;100;3;85.0;1.3002
Set_100_234/p4.3.p;66.7;100;3;85.0;1.4837
Set_100_234/p4.3.q;70.0;100;3;85.0;1.8596
Set_100_234/p4.3.r;73.3;100;3;85.0;1.4343
Set_100_234/p4.4.d;20.0;100;4;38.0;0.0045
Set_100_234/p4.4.e;22.5;100;4;95.0;0.023
Set_100_234/p4.4.f;25.0;100;4;101.0;0.1233
Set_100_234/p4.4.g;27.5;100;4;105.0;0.2929
Set_100_234/p4.4.h;30.0;100;4;108.0;0.391
Set_100_234/p4.4.i;32.5;100;4;109.0;0.593
Set_100_234/p4.4.j;35.0;100;4;109.0;0.7817
Set_100_234/p4.4.k;37.5;100;4;109.0;1.0002
Set_100_234/p4.4.l;40.0;100;4;109.0;1.1862
Set_100_234/p4.4.m;42.5;100;4;110.0;1.266
Set_100_234/p4.4.n;45.0;100;4;112.0;1.3896
Set_100_234/p4.4.o;47.5;100;4;112.0;1.3994
Set_100_234/p4.4.p;50.0;100;4;112.0;1.4258
Set_100_234/p4.4.q;52.5;100;4;112.0;1.4277
