instance;tmps_max;nombre_clients;nombre_tournees;profit_total;temps_execution
Set_33_234/p3.3.e;11.7;33;3;190.0;0.006
Set_33_234/p3.3.f;13.3;33;3;200.0;0.006
Set_33_234/p3.3.g;15.0;33;3;230.0;0.006
Set_33_234/p3.3.h;16.7;33;3;290.0;0.007
Set_33_234/p3.3.i;18.3;33;3;270.0;0.01
Set_33_234/p3.3.j;20.0;33;3;320.0;0.0112
Set_33_234/p3.3.k;21.7;33;3;350.0;0.0107
Set_33_234/p3.3.l;23.3;33;3;390.0;0.013
Set_33_234/p3.3.m;25.0;33;3;410.0;0.0151
Set_33_234/p3.3.n;26.7;33;3;450.0;0.014
Set_33_234/p3.3.o;28.3;33;3;520.0;0.017
Set_33_234/p3.3.p;30.0;33;3;570.0;0.0179
Set_33_234/p3.3.q;31.7;33;3;540.0;0.0165
Set_33_234/p3.3.r;33.3;33;3;560.0;0.0181
Set_33_234/p3.4.a;3.8;33;4;20.0;0.002
Set_33_234/p3.4.b;5.0;33;4;30.0;0.002
Set_33_234/p3.4.c;6.2;33;4;90.0;0.031
Set_33_234/p3.4.d;7.5;33;4;100.0;0.003
Set_33_234/p3.4.e;8.8;33;4;140.0;0.0021
Set_33_234/p3.4.f;10.0;33;4;190.0;0.0031
Set_33_234/p3.4.g;11.2;33;4;200.0;0.0062
Set_33_234/p3.4.h;12.5;33;4;220.0;0.0069
Set_33_234/p3.4.i;13.8;33;4;230.0;0.006
Set_33_234/p3.4.j;15.0;33;4;270.0;0.0061
Set_33_234/p3.4.k;16.2;33;4;320.0;0.008
Set_33_234/p3.4.l;17.5;33;4;330.0;0.0101
Set_33_234/p3.4.m;18.8;33;4;340.0;0.0102
Set_33_234/p3.4.n;20.0;33;4;370.0;0.0177
Set_33_234/p3.4.o;21.2;33;4;410.0;0.0235
Set_33_234/p3.4.p;22.5;33;4;440.0;0.0125
Set_33_234/p3.4.q;23.8;33;4;510.0;0.0146
Set_33_234/p3.4.r;25.0;33;4;490.0;0.0137
Set_100_234/p4.2.a;25.0;100;2;145.0;0.0193
Set_100_234/p4.2.b;30.0;100;2;232.0;0.0532
Set_100_234/p4.2.c;35.0;100;2;264.0;0.1124
Set_100_234/p4.2.d;40.0;100;2;332.0;0.1915
Set_100_234/p4.2.e;45.0;100;2;363.0;0.2191
Set_100_234/p4.2.f;50.0;100;2;448.0;0.2197
Set_100_234/p4.2.g;55.0;100;2;425.0;0.23
Set_100_234/p4.2.h;60.0;100;2;548.0;0.2405
Set_100_234/p4.2.i;65.0;100;2;583.0;0.2475
Set_100_234/p4.2.j;70.0;100;2;631.0;0.2792
Set_100_234/p4.2.k;75.0;100;2;696.0;0.2689
Set_100_234/p4.2.l;80.0;100;2;753.0;0.2826
Set_100_234/p4.2.m;85.0;100;2;785.0;0.3597
Set_100_234/p4.2.n;90.0;100;2;808.0;0.3447
Set_100_234/p4.2.o;95.0;100;2;839.0;0.4062
Set_100_234/p4.2.p;100.0;100;2;868.0;0.3864
Set_100_234/p4.2.q;105.0;100;2;871.0;0.4345
Set_100_234/p4.2.r;110.0;100;2;902.0;0.4371
Set_100_234/p4.3.b;20.0;100;3;38.0;0.004
Set_100_234/p4.3.c;23.3;100;3;159.0;0.0097
Set_100_234/p4.3.d;26.7;100;3;232.0;0.0775
Set_100_234/p4.3.e;30.0;100;3;330.0;0.0646
Set_100_234/p4.3.f;33.3;100;3;356.0;0.1136
Set_100_234/p4.3.g;36.7;100;3;421.0;0.1483
Set_100_234/p4.3.h;40.0;100;3;443.0;0.1948
Set_100_234/p4.3.i;43.3;100;3;472.0;0.2415
Set_100_234/p4.3.j;46.7;100;3;497.0;0.242
Set_100_234/p4.3.k;50.0;100;3;616.0;0.2367
