instance;tmps_max;nombre_clients;nombre_tournees;profit_total;temps_execution
Set_66_234/p5.2.c;7.5;66;2;40.0;0.004
Set_66_234/p5.2.d;10.0;66;2;70.0;0.0055
Set_66_234/p5.2.e;12.5;66;2;160.0;0.0265
Set_66_234/p5.2.f;15.0;66;2;160.0;0.039
Set_66_234/p5.2.g;17.5;66;2;220.0;0.0698
Set_66_234/p5.2.h;20.0;66;2;240.0;0.0839
Set_66_234/p5.2.i;22.5;66;2;380.0;0.0834
Set_66_234/p5.2.j;25.0;66;2;580.0;0.1047
Set_66_234/p5.2.k;27.5;66;2;650.0;0.0884
Set_66_234/p5.2.l;30.0;66;2;650.0;0.0888
Set_66_234/p5.2.m;32.5;66;2;650.0;0.0863
Set_66_234/p5.2.n;35.0;66;2;810.0;0.0977
Set_66_234/p5.2.o;37.5;66;2;840.0;0.1539
Set_66_234/p5.2.p;40.0;66;2;1140.0;0.1159
Set_66_234/p5.2.q;42.5;66;2;1140.0;0.1117
Set_66_234/p5.2.r;45.0;66;2;1140.0;0.1045
Set_66_234/p5.3.b;3.3;66;3;15.0;0.002
Set_66_234/p5.3.c;5.0;66;3;20.0;0.003
Set_66_234/p5.3.d;6.7;66;3;60.0;0.005
Set_66_234/p5.3.e;8.3;66;3;95.0;0.005
Set_66_234/p5.3.f;10.0;66;3;105.0;0.007
Set_66_234/p5.3.g;11.7;66;3;120.0;0.0212
Set_66_234/p5.3.h;13.3;66;3;240.0;0.019
Set_66_234/p5.3.i;15.0;66;3;240.0;0.038
Set_66_234/p5.3.j;16.7;66;3;315.0;0.0551
Set_66_234/p5.3.k;18.3;66;3;360.0;0.069
Set_66_234/p5.3.l;20.0;66;3;360.0;0.08
Set_66_234/p5.3.m;21.7;66;3;580.0;0.0808
Set_66_234/p5.3.n;23.3;66;3;645.0;0.0966
Set_66_234/p5.3.o;25.0;66;3;845.0;0.0801
Set_66_234/p5.3.p;26.7;66;3;975.0;0.0899
Set_66_234/p5.3.q;28.3;66;3;975.0;0.0933
Set_66_234/p5.3.r;30.0;66;3;975.0;0.1085
Set_64_234/p6.2.d;15.0;64;2;168.0;0.0285
Set_64_234/p6.2.e;17.5;64;2;288.0;0.0696
Set_64_234/p6.2.f;20.0;64;2;564.0;0.0839
Set_64_234/p6.2.g;22.5;64;2;648.0;0.0955
Set_64_234/p6.2.h;25.0;64;2;648.0;0.0896
Set_64_234/p6.2.i;27.5;64;2;648.0;0.0882
Set_64_234/p6.2.j;30.0;64;2;840.0;0.0998
Set_64_234/p6.2.k;32.5;64;2;840.0;0.0965
Set_64_234/p6.2.l;35.0;64;2;840.0;0.1057
Set_64_234/p6.2.m;37.5;64;2;840.0;0.1013
Set_64_234/p6.2.n;40.0;64;2;840.0;0.1046
Set_64_234/p6.3.g;15.0;64;3;252.0;0.0181
Set_64_234/p6.3.h;16.7;64;3;420.0;0.044
Set_64_234/p6.3.i;18.3;64;3;594.0;0.0572
Set_64_234/p6.3.j;20.0;64;3;786.0;0.074
Set_64_234/p6.3.k;21.7;64;3;846.0;0.0814
Set_64_234/p6.3.l;23.3;64;3;858.0;0.0833
Set_64_234/p6.3.m;25.0;64;3;858.0;0.0821
Set_64_234/p6.3.n;26.7;64;3;858.0;0.0827
