instance;tmps_max;nombre_clients;nombre_tournees;profit_total;temps_execution
Set_32_234/p1.4.i;11.5;32;4;50.0;0.0087
Set_32_234/p1.4.j;12.5;32;4;70.0;0.0069
Set_32_234/p1.4.k;13.8;32;4;90.0;0.009
Set_32_234/p1.4.l;15.0;32;4;120.0;0.0077
Set_32_234/p1.4.m;16.2;32;4;110.0;0.0094
Set_32_234/p1.4.n;17.5;32;4;135.0;0.0164
Set_32_234/p1.4.o;18.2;32;4;140.0;0.0166
Set_32_234/p1.4.p;18.8;32;4;140.0;0.0
Set_32_234/p1.4.q;20.0;32;4;150.0;0.0166
Set_32_234/p1.4.r;21.2;32;4;170.0;0.0165
Set_21_234/p2.2.a;7.5;21;2;70.0;0.0
Set_21_234/p2.2.b;10.0;21;2;120.0;0.0
Set_21_234/p2.2.c;11.5;21;2;115.0;0.008
Set_21_234/p2.2.d;12.5;21;2;120.0;0.0
Set_21_234/p2.2.e;13.5;21;2;135.0;0.0
Set_21_234/p2.2.f;15.0;21;2;145.0;0.0069
Set_21_234/p2.2.g;16.0;21;2;135.0;0.0064
Set_21_234/p2.2.h;17.5;21;2;165.0;0.0081
Set_21_234/p2.2.i;19.0;21;2;230.0;0.0094
Set_21_234/p2.2.j;20.0;21;2;210.0;0.0169
Set_21_234/p2.2.k;22.5;21;2;245.0;0.0024
Set_21_234/p2.3.a;5.0;21;3;70.0;0.0
Set_21_234/p2.3.b;6.7;21;3;70.0;0.0
Set_21_234/p2.3.c;7.7;21;3;105.0;0.0081
Set_21_234/p2.3.d;8.3;21;3;105.0;0.0
Set_21_234/p2.3.e;9.0;21;3;120.0;0.0102
Set_21_234/p2.3.f;10.0;21;3;120.0;0.0
Set_21_234/p2.3.g;10.7;21;3;140.0;0.0031
Set_21_234/p2.3.h;11.7;21;3;135.0;0.0
Set_21_234/p2.3.i;12.7;21;3;170.0;0.0
Set_21_234/p2.3.j;13.3;21;3;185.0;0.0182
Set_21_234/p2.3.k;15.0;21;3;200.0;0.0
Set_21_234/p2.4.a;3.8;21;4;10.0;0.0
Set_21_234/p2.4.b;5.0;21;4;70.0;0.0
Set_21_234/p2.4.c;5.8;21;4;70.0;0.0
Set_21_234/p2.4.d;6.2;21;4;70.0;0.0
Set_21_234/p2.4.e;6.8;21;4;70.0;0.0
Set_21_234/p2.4.f;7.5;21;4;105.0;0.0
Set_21_234/p2.4.g;8.0;21;4;105.0;0.0087
Set_21_234/p2.4.h;8.8;21;4;120.0;0.0061
Set_21_234/p2.4.i;9.5;21;4;120.0;0.0
Set_21_234/p2.4.j;10.0;21;4;120.0;0.0021
Set_21_234/p2.4.k;11.2;21;4;160.0;0.0
Set_33_234/p3.2.a;7.5;33;2;80.0;0.0005
Set_33_234/p3.2.b;10.0;33;2;150.0;0.0
Set_33_234/p3.2.c;12.5;33;2;160.0;0.0
Set_33_234/p3.2.d;15.0;33;2;180.0;0.0139
Set_33_234/p3.2.e;17.5;33;2;210.0;0.0039
Set_33_234/p3.2.f;20.0;33;2;230.0;0.016
Set_33_234/p3.2.g;22.5;33;2;270.0;0.0049
Set_33_234/p3.2.h;25.0;33;2;310.0;0.0064
Set_33_234/p3.2.i;27.5;33;2;360.0;0.0067
Set_33_234/p3.2.j;30.0;33;2;400.0;0.0164
Set_33_234/p3.2.k;32.5;33;2;410.0;0.0
Set_33_234/p3.2.l;35.0;33;2;430.0;0.0154
Set_33_234/p3.2.m;37.5;33;2;430.0;0.0157
Set_33_234/p3.2.n;40.0;33;2;510.0;0.0063
Set_33_234/p3.2.o;42.5;33;2;530.0;0.0165
Set_33_234/p3.2.p;45.0;33;2;520.0;0.0253
Set_33_234/p3.2.q;47.5;33;2;560.0;0.0167
Set_33_234/p3.2.r;50.0;33;2;550.0;0.0168
Set_33_234/p3.3.a;5.0;33;3;30.0;0.0
Set_33_234/p3.3.b;6.7;33;3;90.0;0.0
Set_33_234/p3.3.c;8.3;33;3;120.0;0.0123
Set_33_234/p3.3.d;10.0;33;3;170.0;0.0054
Set_33_234/p3.3.e;11.7;33;3;190.0;0.0
Set_33_234/p3.3.f;13.3;33;3;190.0;0.0
Set_33_234/p3.3.g;15.0;33;3;230.0;0.015
Set_33_234/p3.3.h;16.7;33;3;250.0;0.0
Set_33_234/p3.3.i;18.3;33;3;270.0;0.0166
Set_33_234/p3.3.j;20.0;33;3;300.0;0.012
Set_33_234/p3.3.k;21.7;33;3;350.0;0.0055
Set_33_234/p3.3.l;23.3;33;3;370.0;0.0167
Set_33_234/p3.3.m;25.0;33;3;410.0;0.0081
Set_33_234/p3.3.n;26.7;33;3;490.0;0.0083
Set_33_234/p3.3.o;28.3;33;3;500.0;0.0172
Set_33_234/p3.3.p;30.0;33;3;530.0;0.0165
Set_33_234/p3.3.q;31.7;33;3;520.0;0.0112
Set_33_234/p3.3.r;33.3;33;3;570.0;0.0124
Set_33_234/p3.4.a;3.8;33;4;20.0;0.001
Set_33_234/p3.4.b;5.0;33;4;30.0;0.0
Set_33_234/p3.4.c;6.2;33;4;90.0;0.0
Set_33_234/p3.4.d;7.5;33;4;100.0;0.008
Set_33_234/p3.4.e;8.8;33;4;140.0;0.0
Set_33_234/p3.4.f;10.0;33;4;190.0;0.014
Set_33_234/p3.4.g;11.2;33;4;200.0;0.0
Set_33_234/p3.4.h;12.5;33;4;220.0;0.0
Set_33_234/p3.4.i;13.8;33;4;220.0;0.017
Set_33_234/p3.4.j;15.0;33;4;280.0;0.0091
Set_33_234/p3.4.k;16.2;33;4;290.0;0.0098
