instance;tmps_max;nombre_clients;nombre_tournees;profit_total;temps_execution
Set_33_234/p3.2.i;27.5;33;2;370.0;0.0153
Set_33_234/p3.2.j;30.0;33;2;420.0;0.0166
Set_33_234/p3.2.k;32.5;33;2;390.0;0.016
Set_33_234/p3.2.l;35.0;33;2;430.0;0.0211
Set_33_234/p3.2.m;37.5;33;2;440.0;0.0183
Set_33_234/p3.2.n;40.0;33;2;510.0;0.019
Set_33_234/p3.2.o;42.5;33;2;560.0;0.0214
Set_33_234/p3.2.p;45.0;33;2;630.0;0.025
Set_33_234/p3.2.q;47.5;33;2;640.0;0.0239
Set_33_234/p3.2.r;50.0;33;2;670.0;0.0263
Set_33_234/p3.3.a;5.0;33;3;30.0;0.0011
Set_33_234/p3.3.b;6.7;33;3;90.0;0.0015
Set_33_234/p3.3.c;8.3;33;3;120.0;0.002
Set_33_234/p3.3.d;10.0;33;3;170.0;0.0041
Set_33_234/p3.3.e;11.7;33;3;190.0;0.0069
Set_33_234/p3.3.f;13.3;33;3;200.0;0.0073
Set_33_234/p3.3.g;15.0;33;3;230.0;0.0081
Set_33_234/p3.3.h;16.7;33;3;290.0;0.008
Set_33_234/p3.3.i;18.3;33;3;270.0;0.01
Set_33_234/p3.3.j;20.0;33;3;320.0;0.011
Set_33_234/p3.3.k;21.7;33;3;350.0;0.012
Set_33_234/p3.3.l;23.3;33;3;390.0;0.0131
Set_33_234/p3.3.m;25.0;33;3;410.0;0.0172
Set_33_234/p3.3.n;26.7;33;3;450.0;0.014
Set_33_234/p3.3.o;28.3;33;3;520.0;0.018
Set_33_234/p3.3.p;30.0;33;3;570.0;0.0222
Set_33_234/p3.3.q;31.7;33;3;540.0;0.0175
Set_33_234/p3.3.r;33.3;33;3;560.0;0.017
Set_100_234/p4.2.a;25.0;100;2;145.0;0.02
Set_100_234/p4.2.b;30.0;100;2;232.0;0.0566
Set_100_234/p4.2.c;35.0;100;2;264.0;0.1154
Set_100_234/p4.2.d;40.0;100;2;332.0;0.2205
Set_100_234/p4.2.e;45.0;100;2;363.0;0.2536
Set_100_234/p4.2.f;50.0;100;2;448.0;0.2376
Set_100_234/p4.2.g;55.0;100;2;425.0;0.2376
Set_100_234/p4.2.h;60.0;100;2;548.0;0.2435
Set_100_234/p4.2.i;65.0;100;2;583.0;0.2426
Set_100_234/p4.2.j;70.0;100;2;631.0;0.2893
Set_100_234/p4.2.k;75.0;100;2;696.0;0.2571
Set_100_234/p4.2.l;80.0;100;2;753.0;0.2715
Set_100_234/p4.2.m;85.0;100;2;785.0;0.3106
Set_100_234/p4.2.n;90.0;100;2;808.0;0.3147
Set_100_234/p4.2.o;95.0;100;2;839.0;0.355
Set_100_234/p4.2.p;100.0;100;2;868.0;0.3316
Set_100_234/p4.2.q;105.0;100;2;871.0;0.3545
Set_100_234/p4.2.r;110.0;100;2;902.0;0.3845
Set_100_234/p4.3.b;20.0;100;3;38.0;0.003
Set_100_234/p4.3.c;23.3;100;3;159.0;0.0132
Set_100_234/p4.3.d;26.7;100;3;232.0;0.0676
Set_100_234/p4.3.e;30.0;100;3;330.0;0.0541
Set_100_234/p4.3.f;33.3;100;3;356.0;0.1001
Set_100_234/p4.3.g;36.7;100;3;421.0;0.1421
Set_100_234/p4.3.h;40.0;100;3;443.0;0.1802
Set_100_234/p4.3.i;43.3;100;3;472.0;0.2219
Set_100_234/p4.3.j;46.7;100;3;497.0;0.221
Set_100_234/p4.3.k;50.0;100;3;616.0;0.2239
Set_100_234/p4.3.l;53.3;100;3;557.0;0.2325
Set_100_234/p4.3.m;56.7;100;3;608.0;0.2416
Set_100_234/p4.3.n;60.0;100;3;796.0;0.2638
Set_100_234/p4.3.o;63.3;100;3;821.0;0.2457
Set_100_234/p4.3.p;66.7;100;3;833.0;0.247
Set_100_234/p4.3.q;70.0;100;3;882.0;0.2793
Set_100_234/p4.3.r;73.3;100;3;859.0;0.257
Set_66_234/p5.2.b;5.0;66;2;20.0;0.002
Set_66_234/p5.2.c;7.5;66;2;40.0;0.007
Set_66_234/p5.2.d;10.0;66;2;70.0;0.006
Set_66_234/p5.2.e;12.5;66;2;160.0;0.0183
Set_66_234/p5.2.f;15.0;66;2;160.0;0.0361
Set_66_234/p5.2.g;17.5;66;2;220.0;0.0693
Set_66_234/p5.2.h;20.0;66;2;240.0;0.075
Set_66_234/p5.2.i;22.5;66;2;380.0;0.0749
Set_66_234/p5.2.j;25.0;66;2;580.0;0.1044
Set_66_234/p5.2.k;27.5;66;2;650.0;0.0838
Set_66_234/p5.2.l;30.0;66;2;650.0;0.0842
Set_66_234/p5.2.m;32.5;66;2;650.0;0.0845
Set_66_234/p5.2.n;35.0;66;2;810.0;0.0937
Set_66_234/p5.2.o;37.5;66;2;840.0;0.1005
Set_66_234/p5.2.p;40.0;66;2;1140.0;0.0998
Set_66_234/p5.2.q;42.5;66;2;1140.0;0.0969
Set_66_234/p5.2.r;45.0;66;2;1140.0;0.094
Set_66_234/p5.3.b;3.3;66;3;15.0;0.0019
Set_66_234/p5.3.c;5.0;66;3;20.0;0.002
Set_66_234/p5.3.d;6.7;66;3;60.0;0.006
Set_66_234/p5.3.e;8.3;66;3;95.0;0.005
Set_66_234/p5.3.f;10.0;66;3;105.0;0.0053
Set_66_234/p5.3.g;11.7;66;3;120.0;0.02
Set_66_234/p5.3.h;13.3;66;3;240.0;0.0181
Set_66_234/p5.3.i;15.0;66;3;240.0;0.0354
Set_66_234/p5.3.j;16.7;66;3;315.0;0.0482
Set_66_234/p5.3.k;18.3;66;3;360.0;0.063
Set_66_234/p5.3.l;20.0;66;3;360.0;0.0811
Set_66_234/p5.3.m;21.7;66;3;580.0;0.0771
Set_66_234/p5.3.n;23.3;66;3;645.0;0.0753
Set_66_234/p5.3.o;25.0;66;3;845.0;0.0817
Set_66_234/p5.3.p;26.7;66;3;975.0;0.0869
Set_66_234/p5.3.q;28.3;66;3;975.0;0.0847
Set_66_234/p5.3.r;30.0;66;3;975.0;0.1172
Set_64_234/p6.2.d;15.0;64;2;168.0;0.0201
Set_64_234/p6.2.e;17.5;64;2;288.0;0.0633
Set_64_234/p6.2.f;20.0;64;2;564.0;0.081
Set_64_234/p6.2.g;22.5;64;2;648.0;0.0868
Set_64_234/p6.2.h;25.0;64;2;648.0;0.0878
Set_64_234/p6.2.i;27.5;64;2;648.0;0.0931
Set_64_234/p6.2.j;30.0;64;2;840.0;0.0956
Set_64_234/p6.2.k;32.5;64;2;840.0;0.0986
Set_64_234/p6.2.l;35.0;64;2;840.0;0.1012
Set_64_234/p6.2.m;37.5;64;2;840.0;0.1025
Set_64_234/p6.2.n;40.0;64;2;840.0;0.115
Set_64_234/p6.3.g;15.0;64;3;252.0;0.02
Set_64_234/p6.3.h;16.7;64;3;420.0;0.0489
Set_64_234/p6.3.i;18.3;64;3;594.0;0.0621
Set_64_234/p6.3.j;20.0;64;3;786.0;0.0822
Set_64_234/p6.3.k;21.7;64;3;846.0;0.0856
Set_64_234/p6.3.l;23.3;64;3;858.0;0.0877
Set_64_234/p6.3.m;25.0;64;3;858.0;0.0866
Set_64_234/p6.3.n;26.7;64;3;858.0;0.0825
