instance;tmps_max;nombre_clients;nombre_tournees;profit_total;temps_execution;wmax
Set_66_234/p5.2.a;2.5;66;2;0.0;0.0;0
Set_66_234/p5.2.b;5.0;66;2;20.0;0.006;1
Set_66_234/p5.2.c;7.5;66;2;50.0;0.0589;2
Set_66_234/p5.2.d;10.0;66;2;80.0;0.1616;4
Set_66_234/p5.2.e;12.5;66;2;180.0;1.3764;2
Set_66_234/p5.2.f;15.0;66;2;195.0;2.7754;2
Set_66_234/p5.2.g;17.5;66;2;320.0;6.9491;4
Set_66_234/p5.2.h;20.0;66;2;410.0;12.2686;4
Set_66_234/p5.3.a;1.7;66;3;0.0;0.0;0
Set_66_234/p5.3.b;3.3;66;3;15.0;0.002;1
Set_66_234/p5.3.c;5.0;66;3;20.0;0.005;1
Set_66_234/p5.3.d;6.7;66;3;50.0;0.0429;1
Set_66_234/p5.3.e;8.3;66;3;95.0;0.0975;2
Set_66_234/p5.3.f;10.0;66;3;110.0;0.2345;2
Set_66_234/p5.3.g;11.7;66;3;175.0;1.0419;2
Set_66_234/p5.3.h;13.3;66;3;260.0;1.3905;1
Set_66_234/p5.4.a;1.2;66;4;0.0;0.001;0
Set_66_234/p5.4.b;2.5;66;4;0.0;0.0;0
Set_66_234/p5.4.c;3.8;66;4;20.0;0.0047;1
Set_66_234/p5.4.d;5.0;66;4;20.0;0.008;1
Set_66_234/p5.4.e;6.2;66;4;20.0;0.004;1
Set_66_234/p5.4.f;7.5;66;4;80.0;0.055;1
Set_66_234/p5.4.g;8.8;66;4;140.0;0.1461;2
Set_66_234/p5.4.h;10.0;66;4;140.0;0.1741;1
Set_64_234/p6.2.a;7.5;64;2;0.0;0.0;0
Set_64_234/p6.2.b;10.0;64;2;0.0;0.0;0
Set_64_234/p6.2.c;12.5;64;2;0.0;0.001;0
Set_64_234/p6.2.d;15.0;64;2;186.0;1.314;6
Set_64_234/p6.2.e;17.5;64;2;336.0;6.1454;1
Set_64_234/p6.2.f;20.0;64;2;588.0;19.9386;1
Set_64_234/p6.2.g;22.5;64;2;660.0;24.5162;1
Set_64_234/p6.2.h;25.0;64;2;780.0;39.0708;1
Set_64_234/p6.3.a;5.0;64;3;0.0;0.0012;0
Set_64_234/p6.3.b;6.7;64;3;0.0;0.0;0
Set_64_234/p6.3.c;8.3;64;3;0.0;0.0;0
Set_64_234/p6.3.d;10.0;64;3;0.0;0.0;0
Set_64_234/p6.3.e;11.7;64;3;0.0;0.0;0
Set_64_234/p6.3.f;13.3;64;3;0.0;0.0;0
Set_64_234/p6.3.g;15.0;64;3;264.0;1.5086;3
Set_64_234/p6.3.h;16.7;64;3;384.0;5.1061;1
Set_64_234/p6.4.a;3.8;64;4;0.0;0.0;0
Set_64_234/p6.4.b;5.0;64;4;0.0;0.0002;0
Set_64_234/p6.4.c;6.2;64;4;0.0;0.0;0
Set_64_234/p6.4.d;7.5;64;4;0.0;0.0;0
Set_64_234/p6.4.e;8.8;64;4;0.0;0.0;0
Set_64_234/p6.4.f;10.0;64;4;0.0;0.0;0
Set_64_234/p6.4.g;11.2;64;4;0.0;0.0;0
Set_64_234/p6.4.h;12.5;64;4;0.0;0.0;0
